,NOMINAL_CAPITAL,NOMINAL_VALUE_OF_UNISSUED_SHARE_CAPITAL,ISSSUED_CAPITAL,PAID_UP_CAPITAL,GENERAL_RESERVE,INVESTMENT_FLCTN._RESERVE,UNAPPRTD_SURPLUS_(NET),OTHER_RESERVES,TOTAL_PAID_UP_CAPITAL_&_RESERVES,UNDERWRITING_PROVISIONS,LONG_TERM_LIABILITIES,CURRENT_LIABLITIES,"TOTAL_PAID-UP_CAPITAL,_RESERVES_&_LIABILITIES",LAND_&_BUILDINGS,INVESTMENT_PROPERTY,OTHER_FIXED_ASSETS,KENYA_GOVT._SECURITIES,LOCAL_GOVT._AUTHORITY_SECURITIES,OTHER_SECURITIES,DEBENTURES_QUOTED_&_UNQUOTED,PREFERENCE_SHARES_QUOTED/UNQUOTED,INVESTMENT_IN_SUBSIDIARY,ORDINARY_SHARES_QUOTED/UNQUOTED,SECURED_LOANS_(INCL.LOANS_ON_LIFE_POLICIES),UNSECURED_LOANS,DEPOSITS_(WITH_BANKS_&_OTHER_INSTITUTIONS),OUTSTANDING_PREMIUMS,AMOUNTS_DUE_FROM_OTHER_INSURERS,CASH,MISCELLANEOUS,INTANGIBLE_ASSETS,TOTAL_ASSETS
COOPERATIVE,142350,0,142350,142350,0,0,0,313623,455973,996946,0,221876,1674795,239050,110950,85122,434656,0,0,0,0,0,,249246,0,368426,42208,0,24299,77506,0,1674795
CORPORATE,51200,-,51200,51200,-,-,-13903,-,37297,176162,1764,2962,218185,-,100340,405,41879,-,-,-,-,-,,25674,-,22352,-,-,21880,884,-,218185
E.A- RE,150000,0,150000,150000,0,0,35789,0,185789,128981,25421,5976,346167,0,0,0,39327,0,10202,0,0,0,,0,0,217469,14326,8111,37440,6,0,346167
"FIRST
ASSURANCE",60000,0,60000,60000,5159,0,0,0,65159,11650,44314,6076,127199,0,0,1663,39665,0,5380,0,0,0,,0,0,46446,2725,0,20281,599,0,127199
NO.,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,,25,26,27,28,29,30,31,32,
UNNAMED: 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GEMINIA,50000,0,50000,50000,0,0,0,0                         -                                 0                              -                             0,50000,133875,0,9721,193596,0,0,73100,0,0,6000,0,0,0,,745,0,106500,0,0,3005,4246,0,193596
HERITAGE A.I.I,50000,-,50000,50000,3719,20733,114238,,188690,1487091,-,21885,1697666,24862,226567,1202,615585,-,53238,-,-,-,,32908,103734,17623,43059,-,7612,90791,-,1697666
ICEA,150000,0,0,150000,0,0,0,,150000,19349630,0,159012,19658642,0,0,11603380,0,0,0,0,0,9820,,242544,0,6063186,0,6262,54110,50954,0,19658642
JUBILEE,80000,-,80000,80000,-,-,-,,80000,11307053,91005,150220,11628278,1425000,13860,3086619,-,-,-,-,-,891019,,233856,-,2299827,209181,26635,45872,589657,-,11628278
KENINDIA,50000,0,50000,50000,437272,0,0,,487272,7700550,0,78985,8266807,404533,0,9634,6072641,0,0,8533,0,0,,90079,0,898287,0,0,47777,178141,0,8266807
KENYA RE,-,-,-,-,-,-,-,706710,706710,2054494,-,12448,2773652,-,833000,1492676,-,-,-,-,-,-,,-,-,364843,-,-,656,82477,-,2773652
"KENYA
ALLIANCE",50000,-,50000,50000,6000,,256440,,312440,2779,-,5083,320302,-,2087,155582,,,,,,,,,,101709,403,8484,2317,49720,-,320302
KNAC (2001),50000,-,50000,50000,-,-,81679,15884,147563,482638,-,25721,655922,-,1677,19471,-,-,39840,-,-,20,,49388,-,448700,-,-,23276,49495,124,655922
MADISON,150000,0,150000,150000,0,97633,0,40679,288312,2313499,0,46326,2648137,887065,0,12390,418123,0,0,0,0,0,,224410,0,232963,0,43860,17477,151570,0,2648137
NO.,1,2,3,4,5,6,7,8,9,10,11,12,,14,15,16,17,18,19,20,21,22,,25,26,27,28,29,30,31,32,33
UNNAMED: 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
METROPOLITAN,400000,31440,368560,368560,-,-,-294477,,74083,7278,241576,127380,450317,-,-,105968,189356,-,-,-,-,-,,-,-,130297,12847,390,7529,3930,-,450317
MERCANTILE,50000,0,0,50000,0,0,0,0,50000,375600,5000,10945,441545,51500,0,3908,134356,0,0,0,0,0,,0,0,242184,49,0,820,2201,0,441545
OLD MUTUAL,1000000,516667,483333,483333,676667,,-120741,72435,1111694,6207481,-,246804,7565979,195608,691112,59339,2098597,,,,,,,324257,-,1552451,14118,,122707,238604,19958,7565979
PAN AFRICA LIFE,500000,300000,200000,200000,0,0,-34731,30260,195529,5949454,25116,252218,6422317,0,391000,65839,3307146,0,0,0,0,0,,656196,0,904704,111785,34553,0,72926,0,6422317
PIONEER,150000,-,150000,150000,,-,41508,30226,221734,555003,4863,41740,823340,-,344500,10004,143063,-,12615,,,,,93158,,42252,55405,30025,22843,63604,-,823340
THE MONARCH,78402,-,78402,78402,30073,,68263,,176738,44664,49191,22799,293392,174866,-,6637,29086,,,,,,,,,1000,-,43911,180,37712,-,293392
TRINITY LIFE,100000,10045,105039,105039,-5485,-4876,46655,-,141333,112958,-,7808,262099,184000,-,3815,44595,-,-,2220,-,-,,-,476,403,2001,-,8649,10522,29,262099
UAP LIFE,150000,0,150000,150000,0,0,-29662,27534,147872,1585260,211299,188779,2133210,545000,0,48090,487751,0,73947,0,0,0,,0,0,132374,4181,59765,120156,26189,0,2133210
TOTAL,4144292,945739,3013637,3213637,1870170,681792,289419,4431253,10486271,80241238,1293033,2563894,94584436,5598818,4327837,17580428,21707550,0,274548,10753,0,903480,,4430820,104210,17904094,593693,321270,908324,2318153,239742,94584436
