,NOMINAL_SHARE_CAPITAL,NOMINAL_VALUE_OF_UNISSUED_SHARE_CAPITAL,ISSUED_SHARE_CAPITAL,PAID_UP_CAPITAL,STATUTORY_RESERVE,INVESTMENT_FLUCTUATION_RESERVE,UNAPPRTD_SURPLUS/RETAINED_EARNINGS_(NET),ALL_OTHER_RESERVES,TOTAL_PAID_UP_CAPITAL_&_RESERVES,UNDERWRITING_PROVISIONS,LONG_TERM_LIABILITIES,CURRENT_LIABLITIES,"TOTAL_PAID_UP_CAPITAL,_RESERVES_&_LIABILITIES",LAND_&_BUILDINGS,INVESTMENT_PROPERTY,OTHER_FIXED_ASSETS,KENYA_GOVT._SECURITIES,LOCAL_GOVT._AUTHORITY_SECURITIES,OTHER_SECURITIES,DEBENTURES_QUOTED_&_UNQUOTED,PREFERENCE_SHARES_QUOTED/UNQUOTED,INVESTMENT_IN_SUBSIDIARY,UNQUOTED_ORDINARY_SHARES,QUOTED_ORDINARY_SHARES,SECURED_LOANS_(INCL.LOANS_ON_LIFE_POLICIES),UNSECURED_LOANS,DEPOSITS_(WITH_BANKS_&_OTHER_INSTITUTIONS),OTHER_INVESTMENTS,OUTSTANDING_PREMIUMS,AMOUNTS_DUE_FROM_RE_INSURERS,REINSURERS'_SHARE_OF_TECHNICAL_LIABILITIES,CASH,OTHER_CURRENT_ASSETS,INTANGIBLE_ASSETS,TOTAL_ASSETS,,GENERAL_RESERVE,UNAPPRTD_SURPLUS/RETAINED_EARNINGS,DEBENTURES_(QUOTED_&_UNQUOTED),PREFERENCE_SHARES_(QUOTED_&_UNQUOTED),SECURED_LOANS_(INCLUDING_LOAN_OF_POLICIES),AMOUNTS_IN_'000'_KES,FIGURES_IN_THOUSANDS_KSHS.
GEMINIA,150000.0,0.0,150000.0,150000.0,,0.0,,0.0,150000.0,175229.0,0.0,19704.0,344933.0,0.0,0.0,0.0,139100.0,6000.0,0.0,,,0.0,0.0,0.0,,0.0,181000.0,0.0,0.0,3981.0,,4234.0,9893.0,0.0,344933.0,,0.0,0.0,0.0,0.0,725.0,,
UNNAMED: 0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NO.,1.0,2.0,3.0,4.0,,6.0,,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0,,,22.0,23.0,24.0,,26.0,27.0,28.0,29.0,30.0,,31.0,32.0,33.0,34.0,,5.0,7.0,20.0,21.0,25.0,,
HERITAGE,150000.0,0.0,150000.0,150000.0,,-33390.0,,0.0,393575.0,1693670.0,0.0,-69484.0,2017761.0,24465.0,0.0,721.0,1182698.0,0.0,46799.0,,,0.0,29117.0,249790.0,,594.0,165516.0,253294.0,0.0,0.0,,9.0,16984.0,0.0,2017762.0,,2985.0,273980.0,0.0,0.0,47775.0,,
ICEA,150000.0,0.0,150000.0,150000.0,,0.0,,0.0,150000.0,23555119.0,0.0,333966.0,24039085.0,0.0,0.0,1309.0,12804141.0,0.0,0.0,,,0.0,9823.0,2561373.0,,0.0,1608418.0,6565913.0,0.0,10941.0,,125158.0,48339.0,0.0,24039085.0,,0.0,0.0,0.0,0.0,303670.0,,
JUBILEE,200000.0,0.0,200000.0,200000.0,,0.0,,0.0,648784.0,18459951.0,35051.0,299897.0,19443683.0,0.0,0.0,17334.0,8109692.0,0.0,678947.0,,,0.0,2138247.0,3492654.0,,0.0,1228431.0,2570331.0,127267.0,8834.0,,449306.0,320814.0,0.0,19443683.0,,448784.0,0.0,0.0,0.0,301826.0,,
KENINDIA,161388.0,0.0,161388.0,161388.0,,0.0,,318516.0,509766.0,11004430.0,0.0,190662.0,11704858.0,614151.0,0.0,8010.0,9880480.0,0.0,0.0,,,0.0,675.0,570164.0,,0.0,424175.0,9714.0,0.0,60730.0,,29416.0,31369.0,0.0,11704858.0,,0.0,29862.0,0.0,0.0,75974.0,,
"KENYAN
ALLIANCE",150000.0,0.0,150000.0,150000.0,,0.0,,0.0,536173.0,3557.0,0.0,5727.0,545457.0,0.0,0.0,1051.0,142400.0,0.0,252586.0,,,0.0,0.0,0.0,,0.0,104422.0,0.0,14440.0,3711.0,,0.0,26847.0,0.0,545457.0,,6000.0,380173.0,0.0,0.0,0.0,,
KENYA RE,0.0,0.0,0.0,0.0,,0.0,,3742815.0,3742815.0,0.0,0.0,1123.0,3743938.0,960000.0,0.0,0.0,1194279.0,0.0,0.0,,,0.0,0.0,0.0,,1467636.0,0.0,0.0,0.0,121375.0,,648.0,0.0,0.0,3743938.0,,0.0,0.0,0.0,0.0,0.0,,
KNAC (2001),0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,
MADIS ON,150000.0,0.0,150000.0,150000.0,,0.0,,254803.0,404803.0,2995240.0,0.0,50465.0,3450508.0,0.0,0.0,11308.0,601977.0,0.0,0.0,,,0.0,495971.0,93334.0,,0.0,600149.0,1300000.0,0.0,9133.0,,18314.0,131643.0,0.0,3450508.0,,0.0,0.0,0.0,0.0,188680.0,,
MERCANTILE,150000.0,0.0,150000.0,150000.0,,-22370.0,,0.0,127630.0,539072.0,0.0,5460.0,672162.0,62240.0,0.0,3267.0,176756.0,0.0,0.0,,,0.0,0.0,11594.0,,0.0,393228.0,0.0,445.0,6911.0,,5011.0,6367.0,0.0,672162.0,,0.0,0.0,0.0,0.0,6343.0,,
