,NOMINAL_SHARE_CAPITAL,NOMINAL_VALUE_OF_UNISSUED_SHARE_CAPITAL,ISSUED_SHARE_CAPITAL,PAID-UP_CAPITAL,GENERAL_RESERVE,INVESTMENT_FLUCTUATION_RESERVE,UNAPPRTD_SURPLUS/RETAINED_EARNINGS,ALL_OTHER_RESERVES,TOTAL_PAID-UP_CAPITAL_&_RESERVES,UNDERWRITING_PROVISIONS,LONG_TERM_LIABILITIES,CURRENT_LIABLITIES,"TOTAL_PAID-UP_CAPITAL,_RE-_SERVES_&_LIABILITIES",LAND_&_BUILDINGS,INVESTMENT_PROPERTY,OTHER_FIXED_ASSETS,KENYA_GOVT._SECURITIES,LOCAL_GOVT._AUTHORITY_SECURITIES,OTHER_SECURITIES,DEBENTURES_(QUOTED_&_UNQUOTED),PREFERENCE_SHARES_(QUOTED_&_UNQUOTED),INVESTMENT_IN_SUBSIDIARY,QUOTED_ORDINARY_SHARES,UNQUOTED_ORDINARY_SHARES,SECURED_LOANS_(INCLUDING_LOAN_OF_POLICIES),UNSECURED_LOANS,DEPOSITS_(WITH_BANKS_&_OTHER_INSTITUTIONS),OTHER_INVESTMENTS,OUTSTANDING_PREMIUMS,AMOUNTS_DUE_FROM_RE-INSURERS,CASH,OTHER_CURRENT_ASSETS,INTANGIBLE_ASSETS,TOTAL_ASSETS,FIGURES_IN_THOUSANDS_KSHS.,,"TOTAL_PAID-UP_CAPITAL,_RESERVES_&_LIABILITIES"
COOP_ERATIVE,375194.0,0.0,375194.0,375194.0,928224.0,22823.0,412118.0,37516.0,1775875.0,1865810.0,0.0,542407.0,4184092.0,42199.0,600000.0,62185.0,594814.0,0.0,0.0,0.0,0.0,0.0,108668.0,135764.0,167060.0,0.0,1333083.0,0.0,578408.0,139587.0,120465.0,301859.0,0.0,4184092.0,,,
CORPO_RATE,300000.0,,300000.0,300000.0,0.0,0.0,157177.0,0.0,457177.0,366962.0,0.0,16082.0,840221.0,0.0,356364.0,6940.0,76348.0,0.0,0.0,0.0,0.0,0.0,2751.0,0.0,0.0,0.0,199049.0,,109526.0,3975.0,39946.0,45322.0,0.0,840221.0,,,
NO.,1,2,3,4,5,6,7,8,9,10,11,12,,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,,,Bima Bora Kwa Taifa,13
UNNAMED:_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DIRECTLINE,300000.0,0.0,300000.0,300000.0,113511.0,53.0,0.0,0.0,413564.0,1859473.0,0.0,31318.0,,0.0,203716.0,74385.0,511206.0,0.0,0.0,0.0,0.0,0.0,162441.0,0.0,38000.0,0.0,682786.0,0.0,951.0,21568.0,295892.0,306066.0,7344.0,2304355.0,,,2304355.0
EAST_AFRICA_RE,500000.0,0.0,500000.0,500000.0,0.0,0.0,589082.0,0.0,1089082.0,1237738.0,0.0,376109.0,,87959.0,0.0,13328.0,364644.0,0.0,71745.0,0.0,0.0,0.0,125698.0,0.0,21342.0,0.0,1154408.0,0.0,361072.0,0.0,10937.0,491796.0,0.0,2702929.0,,,2702929.0
FIDELITY_SHIELD,310000,-,310000,300452,-,29573,307196,9765,646986,713927,-,189744,,138057,521942,55665,129541,-,-,-,-,-,133029,-,100164,-,175066,-,198095,9157,34732,55209,-,1550657,,,1550657
FIRST_ASSURANCE,300000,-,300000,300000,266055,-,-,73806,639861,1975260,-,323735,,132000,367417,18054,195727,-,51134,48549,-,-,149867,31571,,,609090,75139,255333,446829,24214,533932,,2938856,,,2938856
GATEWAY,325000,25000,300000,300000,135,,88719,6090,394944,878308,-222,62947,,55406,257560,5822,169900,-,-,-,-,-,56608,18949,511,,296921,,226198,153468,66907,26748,979,1335977,,,1335977
GEMINIA,300000,-,300000,300000,-,152780,88962,12660,554402,737107,-,237417,,554872,-,34872,282500,-,-,-,-,-,100980,23527,974,-,269700,25500,29270,92338,57861,56532,-,1528926,,,1528926
GA,300000,-,300000,300000,-,164722,309570,468685,1242977,2563328,-,218734,,700000,223000,44328,372891,-,-,-,-,-,178684,197488,237000,-,431520,115547,268263,934318,23870,202058,96072,4025039,,,4025039
HERITAGE,350000,-,350000,350000,-,355867,533799,-,1239666,2302221,298137,181437,,-,335000,93730,677936,-,77538,,,88369,580217,127789,193223,3496,661989,770,308314,-,176110,692873,4107,4021461,,,4021461
ICEA,300000,-,300000,300000,-,-,854875,-,1154875,1918249,179409,241922,,745000,-,48033,890006,-,-,-,-,-,-,197453,21699,-,231899,270655,53610,165177,32464,838459,-,3494455,,,3494455
INTRA_AFRICA,400000,-,400000,300000,-,-,44000,24494,368494,491787,-,46138,,53393,72687,11312,207200,-,8095,-,-,-,47061,-,15133,-,150212,10610,233591,-,35745,61380,-,906419,,,906419
NO.,1,2,3,4,5,6,7,8,9,10,11,12,,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,,,Bima Bora Kwa Taifa,13
UNNAMED:_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INVES_CO,300000,-,300000,300000,-,1653,-291409,-,10244,416836,116551,58828,,-,-,85040,-,-,-,-,-,-,4408,-,165018,-,184339,14000,-,46540,56070,15931,31113,602459,,,602459
JUBILEE,500000,-,500000,500000,-,-94184,1936761,82284,2424861,3953594,563815,404795,,-,280000,17706,810105,-,-,-,573,-,1383368,980799,-,-,374281,434111,565717,678153,52201,1770051,-,7347065,,,7347065
