,NOMINAL_CAPITAL,NOMINAL_VALUE_OF_UNISSUED_SHARE_CAPITAL,ISSUED_CAPITAL,PAID_UP_CAPITAL,GENERAL_RESERVE,INVESTMENT_FLCTN._RESERVE,UNAPPRTD_SURPLUS_(NET),OTHER_RESERVES,TOTAL_PAID_UP_CAPITAL_&_RESERVES,UNDERWRITING_PROVISIONS,LONG_TERM_LIABILITIES,CURRENT_LIABLITIES,"TOTAL_PAID-UP_CAPITAL,_RESERVES_&_LIABILITIES",LAND_&_BUILDINGS,INVESTMENT_PROPERTY,OTHER_FIXED_ASSETS,KENYA_GOVT._SECURITIES,LOCAL_GOVT._AUTHORITY_SECURITIES,OTHER_SECURITIES,DEBENTURES_QUOTED_&_UNQUOTED,PREFERENCE_SHARES_QUOTED/UNQUOTED,INVESTMENTS_IN_SUBSIDIARY,ORDINARY_SHARES_QUOTED/UNQUOTED,SECURED_LOANS_(INCL.LOANS_ON_LIFE_POLICIES),UNSECURED_LOANS,DEPOSITS_(WITH_BANKS_&_OTHER_INSTITUTIONS),OUTSTANDING_PREMIUMS,AMOUNTS_DUE_FROM_OTHER_INSURERS,CASH,MISCELLANEOUS,INTANGIBLE_ASSETS,TOTAL_ASSETS
"PHOENIX
OF E.A",150000,0,0,150000,0,679030,349714,0,1178744,288931,0,140008,1607683,0,74750,10863,107332,0,0,0,0,91352,954848,0,0,31030,118973,73523,3272,141740,0,1607683
REAL,100000,0,30000,130000,0,0,20367,49290,199657,678512,0,102867,981036,144725,24491,0,47489,0,40000,5000,0,94458,18592,0,0,32189,186264,282567,25861,31625,47775,981036
STANDARD,122400,0,0,122400,0,0,38271,5034,165705,480126,0,90617,736448,128581,0,31628,18000,0,0,0,0,0,0,0,0,105995,345651,0,768,105825,0,736448
TAUSI,125000,20000,0,105000,32504,0,2321,0,139825,705843,50157,12521,908346,109688,0,13009,79850,0,0,0,0,0,26538,10761,0,260000,119713,246383,29177,13227,0,908346
THE MONARCH,133050,0,83400,216450,0,0,-32780,0,183670,156177,70097,61718,471662,96378,0,5189,10000,0,0,0,0,27665,89827,,22003,0,68933,95946,298,55423,0,471662
TRIDENT,100000,0,0,100000,0,0,82182,0,182182,585937,143512,24462,936093,0,3583,3268,120019,0,0,0,0,0,46076,58474,0,162162,128904,144073,261667,7867,0,936093
UAP PROVINCIAL,500000,0,500000,500000,0,2324314,1090292,240000,4154606,1537665,0,161562,5853833,0,512300,386313,468346,0,0,0,0,269930,2789625,21045,0,241304,251785,513808,74543,324834,0,5853833
TOTAL,8688452,344010,942071,8557842,552211,3319794,9557976,3895062,25882885,30336255,3129918,5177093,64526152,3391452,2569379,2147217,9103790,0,124870,24352,650,615992,12367008,1362149,103966,6670160,8094788,9139583,1504919,7141850,164025,64526152
NO,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,
AIG (K),249000,0,249000,249000,0,3066,71124,0,323190,614871,0,651941,1590002,0,0,95571,614311,0,0,0,0,0,58419,0,0,335359,154735,57525,23417,213092,37573,1590002
